museum,unique_geographies,objects_with_geography,top_1_share,top_3_share,top_5_share,top_10_share
The Metropolitan Museum of Art,19,99,35.35,60.61,75.76,89.9
Smithsonian National Museum of American History,1866,5206,6.53,13.43,17.44,25.72
